Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2019","2019","t","27.19","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1334","Fung & Bact – Benzimidazoles","2020","2020","t","20.57","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2017","2017","t","175.37","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2018","2018","t","153.98","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2019","2019","t","145.84","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1335","Fung & Bact – Triazoles, diazoles","2020","2020","t","139.33","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2017","2017","t","42.13","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2018","2018","t","41.7","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2019","2019","t","31.69","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1336","Fung & Bact – Diazines, morpholines","2020","2020","t","32.26","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1338","Fung & Bact - Biopesticides","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1338","Fung & Bact - Biopesticides","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1338","Fung & Bact - Biopesticides","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1338","Fung & Bact - Biopesticides","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact - nes","2017","2017","t","1014.27","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact - nes","2018","2018","t","857.76","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact - nes","2019","2019","t","814.04","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1337","Fung & Bact - nes","2020","2020","t","671.03","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1341","Plant Growth Regulators","2017","2017","t","352.6","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1341","Plant Growth Regulators","2018","2018","t","268.8","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1341","Plant Growth Regulators","2019","2019","t","297.21","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1341","Plant Growth Regulators","2020","2020","t","456.38","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1345","Rodenticides","2017","2017","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1345","Rodenticides","2018","2018","t","0","I","Imputed value","Imputed value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1345","Rodenticides","2019","2019","t","0","I","Imputed value","Imputed value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1345","Rodenticides","2020","2020","t","0.14","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1346","Rodenticides – Anti-coagulants","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1346","Rodenticides – Anti-coagulants","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1346","Rodenticides – Anti-coagulants","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1346","Rodenticides – Anti-coagulants","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1348","Rodenticides – Cyanide Generators","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1348","Rodenticides – Cyanide Generators","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1348","Rodenticides – Cyanide Generators","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1348","Rodenticides – Cyanide Generators","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1349","Rodenticides – Hypercalcaemics","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1349","Rodenticides – Hypercalcaemics","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1349","Rodenticides – Hypercalcaemics","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1349","Rodenticides – Hypercalcaemics","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1350","Rodenticides – Narcotics","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1350","Rodenticides – Narcotics","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1350","Rodenticides – Narcotics","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1350","Rodenticides – Narcotics","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1347","Rodenticides – Other","2017","2017","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1347","Rodenticides – Other","2018","2018","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1347","Rodenticides – Other","2019","2019","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1347","Rodenticides – Other","2020","2020","","","","",""
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1355","Other Pesticides nes","2017","2017","t","165.47","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1355","Other Pesticides nes","2018","2018","t","174.44","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1355","Other Pesticides nes","2019","2019","t","220.62","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1355","Other Pesticides nes","2020","2020","t","283.37","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","70458.87","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","250","France","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","3.62","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5172","Use per capita","1357","Pesticides (total)","2017","2017","kg/cap","1.1","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5173","Use per value of agricultural production","1357","Pesticides (total)","2017","2017","g/Int$","1.18","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","83983.13","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","250","France","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","4.39","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5172","Use per capita","1357","Pesticides (total)","2018","2018","kg/cap","1.31","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5173","Use per value of agricultural production","1357","Pesticides (total)","2018","2018","g/Int$","1.47","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","54303.71","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","250","France","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","2.86","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5172","Use per capita","1357","Pesticides (total)","2019","2019","kg/cap","0.84","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5173","Use per value of agricultural production","1357","Pesticides (total)","2019","2019","g/Int$","0.94","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","64789.22","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","250","France","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","3.28","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5172","Use per capita","1357","Pesticides (total)","2020","2020","kg/cap","1","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5173","Use per value of agricultural production","1357","Pesticides (total)","2020","2020","g/Int$","1.17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1309","Insecticides","2017","2017","t","6264.64","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1309","Insecticides","2018","2018","t","6358.25","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1309","Insecticides","2019","2019","t","4801.48","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1309","Insecticides","2020","2020","t","6479.41","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2017","2017","t","0.82","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2018","2018","t","1.01","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2019","2019","t","1.15","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","250","France","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2020","2020","t","1.96","X","Figure from international organizations","Figure from international organizations"
